description,category
UPI/Bangalore Water Board/anjali.872@oksbi/Payment/YES BANK,bills
mobile recharge,bills
grocery order from BigBasket,food
IMPS-5968456262-KAVYA DESAI-ICICI-Apollo Pharmacy,healthcare
vegetable seeds,agriculture
UPI-Chimpanzee Play Center-rahul.868@oksbi-IDFC-714195028-UPI,education
ACH/TP ACH Nykaa Fashion 5146402280,shopping
medical checkup payment to Practo Consultation,healthcare
unknown expense,other
Urban Company GURGAON IN,shopping
hospital bill paid to Sushil Medical Store,healthcare
Sony LIV Ref#43401332,other
fuel filled at HP Petrol Pump,transport
Goibibo Ref#06113222,transport
kids class fee paid to EuroKids,education
Sony LIV Ref#18193368,other
spa session payment at Cult.fit,shopping
Amazon Shopping GURGAON IN,shopping
purchased prescription at Apollo Pharmacy,healthcare
IMPS-2800941983-PRIYA RAO-ICICI-Annual Card Fee,other
Jio Fiber Ref#37332964,bills
tuition fees,education
shoes purchase,shopping
weekly grocery shopping at More Supermarket,food
prescribed drugs,healthcare
course payment on School Fee Payment,education
edible oil purchase,food
Columbia Asia DELHI IN,healthcare
bed sheet for home,household
NEFT Dr-KOTAK0000212-ROHAN SHARMA-MakeMyTrip,transport
POS Vodafone Idea PUNE,bills
NEFT Dr-AXIS0000961-SANJAY MALHOTRA-Reliance Fresh,food
Ola Cabs MUMBAI IN,transport
NEFT Dr-YES BANK0000588-SANJAY BOSE-Barbeque Nation,food
IMPS-8417483116-VIKAS KAPOOR-KOTAK-BSES Rajdhani,bills
school admission fee,education
POS MakeMyTrip GURGAON,transport
new clothes,shopping
semester fee via College Tuition NEFT,education
paid Namma Metro for a ride,transport
movie tickets booked on YouTube Premium,other
flight booking on Airbnb,transport
lab test fee at Cadabams Hospital,healthcare
IMPS-2202362813-VIKAS DESAI-AXIS-JioHotstar,other
farming supplies,agriculture
NEFT Dr-KOTAK0000828-RITU RAO-Reliance Trends,shopping
kids class fee paid to Sportskids Academy,education
POS Barbeque Nation MUMBAI,food
School Fee Payment Ref#23713309,education
seed purchase,agriculture
lunch at hotel,food
NEFT Dr-SBI0000412-VIKAS MALHOTRA-Flipkart,shopping
dinner at Zomato with friends,food
UPI/Netmeds/ritu.193@paytm/Payment/SBI,healthcare
IMPS-3760633532-ANITA CHOPRA-HDFC-HDFC Home Loan EMI,household
Jio Fiber Ref#27142646,bills
Kumon Learning Ref#14553748,education
lunch bill paid at Faasos,food
IMPS-7672594619-ANITA PILLAI-HDFC-Netmeds,healthcare
online class fee,education
NEFT Dr-IDFC0000595-MANOJ MENON-Nykaa Fashion,shopping
IMPS-5670649276-NEHA NAIR-KOTAK-Practo Consultation,healthcare
paid Indian Oil Petrol Pump for a ride,transport
UPI-Faasos-sneha.151@ybl-KOTAK-989981424-UPI,food
taxi ride,transport
fruit vendor payment,food
Star Bazaar CHENNAI IN,food
fertilizer purchase,agriculture
eye checkup,healthcare
vegetable vendor payment,food
cab ride booked with IRCTC,transport
farm tool purchase,agriculture
NEFT Dr-SBI0000319-MEERA IYER-Reliance Fresh,food
NEFT Dr-KOTAK0000584-SURESH MENON-MedPlus,healthcare
UPI-INOX Movies-neha.882@paytm-SBI-345150572-UPI,other
mobile phone recharge,bills
UPI/Cult.fit/sanjay.278@oksbi/Payment/YES BANK,shopping
paid Cult.fit for a haircut,shopping
NEFT Dr-ICICI0000335-ROHAN BOSE-School Fee Payment,education
UPI-INOX Movies-rahul.853@okicici-HDFC-435224929-UPI,other
ordered food from Zomato,food
health clinic bill,healthcare
taxi to station,transport
internet bill paid to BESCOM,bills
NEFT Dr-IDFC0000261-ANJALI PILLAI-Apple Music,other
prescription medicines,healthcare
SMS Alert Charges deducted from account,other
Park+ Parking PUNE IN,transport
transportation expense,transport
UPI-INOX Movies-arjun.228@ybl-KOTAK-355191676-UPI,other
fresh fruits,food
medical emergency bill,healthcare
bus ticket,transport
OYO Rooms HYDERABAD IN,transport
ACH/TP ACH Airbnb 9349998051,transport
mat for house,household
UPI/Jio Fiber/amit.195@okicici/Payment/SBI,bills
crop protection medicine,agriculture
IMPS-2507895169-ANJALI REDDY-YES BANK-Zepto,food
transport fare,transport
other transaction,other
Netflix subscription auto debit,other
paid HP Petrol Pump for a ride,transport
Zomato Ref#43720138,food
electricity dues,bills
UPI-Apollo Pharmacy-anjali.418@paytm-YES BANK-042819619-UPI,healthcare
clothing for family,shopping
POS Adani Electricity BANGALORE,bills
EuroKids Ref#20223512,education
UPI-PharmEasy-neha.440@okhdfcbank-YES BANK-739892384-UPI,healthcare
ACH/TP ACH Kidzee 9560481234,education
IMPS-3961121170-RITU RAO-IDFC-HDFC Home Loan EMI,household
clothing items,shopping
seeds for farm,agriculture
cleaning supplies,household
UPI/Naturals Salon/pooja.656@paytm/Payment/ICICI,shopping
gym membership fee for Jawed Habib,shopping
Namma Metro Ref#53957508,transport
ACH/TP ACH Udemy 8840098509,education
hospital bill paid to Columbia Asia,healthcare
POS YouTube Premium BANGALORE,other
UPI/Bachpan Play School/kavya.599@ybl/Payment/HDFC,education
student transport pass,education
PVR Cinemas Ref#11948403,other
UPI/GST on Bank Charges/divya.430@okaxis/Payment/HDFC,other
bought groceries,food
UPI-BookMyShow-vikram.420@ybl-IDFC-778913534-UPI,other
GST on Bank Charges deducted from account,other
school books,education
agriculture tools,agriculture
monthly ration,food
Sushil Medical Store Ref#60072310,healthcare
bought clothes online from Myntra,shopping
penalty charge: GST on Bank Charges,other
NEFT Dr-AXIS0000286-RITU NAIR-Zara,shopping
IMPS-9489345212-VIKAS MALHOTRA-KOTAK-School Fee Payment,education
children school fees,education
unexpected expense,other
UPI/1mg Pharmacy/rohan.630@okicici/Payment/AXIS,healthcare
cash purchase,other
UPI/EuroKids/vikram.823@paytm/Payment/HDFC,education
bought saree,shopping
eggs from shop,food
water bill payment,bills
POS Cafe Coffee Day DELHI,food
UPI-DMart-amit.494@ybl-SBI-542596187-UPI,food
footwear shopping,shopping
broom and mop,household
POS Star Bazaar CHENNAI,food
utility bill for Bangalore Water Board,bills
UPI-Park+ Parking-sanjay.373@okaxis-IDFC-044912132-UPI,transport
UPI/Lakme Salon/amit.938@okaxis/Payment/IDFC,shopping
monthly Tata Power bill payment,bills
medical checkup payment to Fortis Healthcare,healthcare
UPI-Overdraft Interest Charge-pooja.910@oksbi-KOTAK-961969725-UPI,other
bought medicines from 1mg Pharmacy,healthcare
dress shopping,shopping
Wellness Forever CHENNAI IN,healthcare
ACH/TP ACH Tata Power 0785553136,bills
IMPS-1227397464-VIKRAM REDDY-ICICI-Urban Company,shopping
UPI/Amazon Shopping/karan.112@paytm/Payment/IDFC,shopping
cleaning powder,household
utility bill for Tata Power,bills
UPI-College Tuition NEFT-divya.256@okhdfcbank-HDFC-338466289-UPI,education
UPI-INOX Movies-suresh.472@paytm-YES BANK-869167007-UPI,other
lab test fee at Practo Consultation,healthcare
dinner at Domino's Pizza with friends,food
fuel for motorcycle,transport
UPI/HP Petrol Pump/ritu.995@paytm/Payment/AXIS,transport
IMPS-4977575166-SURESH IYER-IDFC-OYO Rooms,transport
UPI/SBI Home Loan EMI/karan.997@paytm/Payment/IDFC,household
ACH/TP ACH BYJU'S 0868910115,education
school bag shopping,shopping
fish from market,food
utility charges,bills
Cult.fit CHENNAI IN,shopping
household items,household
new trousers,shopping
mop purchase,household
IMPS-3458731926-KAVYA IYER-SBI-Akasa Air,transport
NEFT Dr-YES BANK0000796-ANITA VERMA-BookMyShow,other
Sportskids Academy MUMBAI IN,education
Vedantu Ref#32324633,education
unidentified purchase,other
train ticket booked via Goibibo,transport
water utility payment,bills
NEFT Dr-AXIS0000391-ANJALI RAO-Third Wave Coffee,food
health checkup,healthcare
ACH/TP ACH Cafe Coffee Day 0392744995,food
paid Ola Cabs for a ride,transport
study materials,education
ACH/TP ACH Practo Pharmacy 3425458760,healthcare
educational supplies,education
POS BYJU'S PUNE,education
random expense,other
ploughing expense,agriculture
POS RedBus GURGAON,transport
medicine from pharmacy,healthcare
POS Rapido HYDERABAD,transport
chicken for dinner,food
Annual Card Fee Ref#20508284,other
auto ride,transport
tuition payment,education
handbag from shop,shopping
IMPS-0438214422-AMIT RAO-IDFC-BigBasket,food
paid for Spotify Premium membership,other
educational books,education
