description,category
POS Vodafone Idea PUNE,bills
train ticket booked via RedBus,transport
ACH/TP ACH Air India 1991684672,transport
school shoes,education
unclassified payment,other
unclear expense,other
other transaction,other
bought clothes online from Lifestyle Stores,shopping
bought paddy seeds for planting,agriculture
home maintenance items,household
Zomato Ref#43720138,food
home supplies,household
UPI-Udemy-amit.482@okhdfcbank-SBI-426280960-UPI,education
bus ticket to village,transport
ACH/TP ACH Lakme Salon 7385607636,shopping
Ola Cabs MUMBAI IN,transport
bought paddy fertilizer from the local dealer,agriculture
NEFT Dr-SBI0000412-VIKAS MALHOTRA-Flipkart,shopping
medical report test,healthcare
auto to hospital,transport
UPI-School Fee Payment-ritu.333@okhdfcbank-AXIS-531537220-UPI,education
NEFT Dr-IDFC0000685-ROHAN GUPTA-ICICI Home Loan EMI,household
general household payment,other
utility payment,bills
ACH/TP ACH BYJU'S 0868910115,education
BigBasket HYDERABAD IN,food
health test,healthcare
shoes purchase,shopping
purchased groundnut seeds for the farm,agriculture
Overdraft Interest Charge deducted from account,other
Overdraft Interest Charge Ref#48108918,other
Netmeds MUMBAI IN,healthcare
rent transfer to landlord via HDFC Home Loan EMI,household
textbooks purchase,education
utility bill,bills
UPI/Nykaa Fashion/arjun.906@oksbi/Payment/IDFC,shopping
school bag,education
IMPS-0393719127-SANJAY PILLAI-YES BANK-Property Owner NEFT,household
UPI-Coursera-ritu.571@paytm-HDFC-731518995-UPI,education
bucket purchase,household
transportation expense,transport
paid Cult.fit for a haircut,shopping
paid labor charges for field work,agriculture
ordered food from Zomato,food
educational books,education
UPI/Spotify Premium/amit.416@okicici/Payment/SBI,other
cooking oil,food
UPI-24Seven-vikas.538@okaxis-YES BANK-329500167-UPI,food
UPI/Jio Fiber/amit.195@okicici/Payment/SBI,bills
taxi to station,transport
ACH/TP ACH Nykaa Fashion 5146402280,shopping
paid for repairing the irrigation pump,agriculture
UPI-Tata Power-amit.245@okhdfcbank-KOTAK-607243377-UPI,bills
slippers purchase,shopping
paid for drip irrigation equipment,agriculture
taxi ride,transport
hospital bill paid to Columbia Asia,healthcare
bought a sickle and other harvesting tools,agriculture
lab test fee at Narayana Health,healthcare
bought medicines from 1mg Pharmacy,healthcare
NEFT Dr-SBI0000319-MEERA IYER-Reliance Fresh,food
sandals purchase,shopping
paid for a combine harvester rental,agriculture
clothing shopping,shopping
gym membership fee for Urban Company,shopping
bought weed control medicine for the farm,agriculture
SMS Alert Charges CHENNAI IN,other
school activity fee,education
monthly phone bill,bills
ACH/TP ACH Fortis Healthcare 5032137236,healthcare
payment details unknown,other
health checkup,healthcare
NEFT Dr-YES BANK0000533-ROHAN BOSE-JioMart Grocery,food
paid for JioHotstar membership,other
Little Millennium Ref#38294847,education
children's activity payment to Kidzee,education
UPI/Amazon Shopping/karan.112@paytm/Payment/IDFC,shopping
UPI/Chai Point/neha.915@okaxis/Payment/IDFC,food
crop protection medicine,agriculture
personal shopping,shopping
doctor appointment fee,healthcare
new sandals,shopping
IMPS-7167189103-SURESH MENON-KOTAK-Kidzee,education
paid for pesticide spray on the crops,agriculture
school art supplies,education
ACH/TP ACH Max Healthcare 0659331184,healthcare
NEFT Dr-YES BANK0000259-ARJUN REDDY-Behrouz Biryani,food
Sony LIV Ref#18193368,other
UPI/SMS Alert Charges/kavya.745@ybl/Payment/IDFC,other
POS Apollo Pharmacy HYDERABAD,healthcare
Max Healthcare Ref#91422089,healthcare
IMPS-8580065674-RAHUL RAO-KOTAK-INOX Movies,other
NEFT Dr-SBI0000180-MEERA REDDY-More Supermarket,food
UPI/Manipal Hospital/suresh.966@oksbi/Payment/IDFC,healthcare
paid for repairing irrigation pipes,agriculture
purchased medicine for a sick cow,agriculture
Sony LIV Ref#87619490,other
cash spending,other
Nykaa Fashion Ref#52956184,shopping
pulses purchase,food
paid for loading harvested crops,agriculture
eye checkup,healthcare
purchased materials for farming activities,agriculture
wages paid to agricultural workers,agriculture
UPI-Kumon Learning-arjun.145@oksbi-KOTAK-458697149-UPI,education
fish from market,food
gym membership fee for Jawed Habib,shopping
cab ride booked with Bharat Petroleum,transport
UPI-INOX Movies-suresh.472@paytm-YES BANK-869167007-UPI,other
laboratory test,healthcare
paid for buying paddy seedlings,agriculture
rickshaw fare,transport
Star Bazaar CHENNAI IN,food
internet charges,bills
miscellaneous spending,other
penalty charge: SMS Alert Charges,other
IMPS-0438214422-AMIT RAO-IDFC-BigBasket,food
Jio Fiber PUNE IN,bills
Practo Pharmacy Ref#70021788,healthcare
IMPS-9337868765-POOJA KAPOOR-AXIS-Housing.com Rent,household
Zara DELHI IN,shopping
Columbia Asia GURGAON IN,healthcare
Sushil Medical Store Ref#12085920,healthcare
purchased cotton seeds for the field,agriculture
Cult.fit CHENNAI IN,shopping
lab test fee at Practo Consultation,healthcare
purchased a shovel for farm work,agriculture
vegetable seeds,agriculture
bus fare for work,transport
IMPS-7613214345-VIKAS MENON-YES BANK-Cult.fit,shopping
enrolled kid in Little Millennium program,education
Goibibo Ref#06113222,transport
NEFT Dr-AXIS0000286-RITU NAIR-Zara,shopping
utility bill for BSES Rajdhani,bills
IMPS-1319995413-DIVYA NAIR-ICICI-Nature's Basket,food
general spending,other
Cleartrip Ref#45568682,transport
school books,education
POS RedBus GURGAON,transport
UPI/YesMadam/rohan.548@okhdfcbank/Payment/IDFC,shopping
UPI/Ola Cabs/neha.127@okhdfcbank/Payment/SBI,transport
fruit vendor payment,food
bought saree,shopping
ACH/TP ACH Annual Card Fee 6664840346,other
new clothes,shopping
dinner at Domino's Pizza with friends,food
shopping for clothes,shopping
UPI-Swiggy Instamart-karan.214@paytm-AXIS-449825198-UPI,food
paid Namma Metro for a ride,transport
water supply bill,bills
bought fertilizer and manure for farming,agriculture
IMPS-2977214415-KAVYA KAPOOR-YES BANK-HDFC Home Loan EMI,household
Urban Company GURGAON IN,shopping
ACH/TP ACH Cleartrip 9721639898,transport
UPI-Reliance Fresh-anjali.646@paytm-KOTAK-242962370-UPI,food
paid for repairing the farm water pump,agriculture
shirt purchase,shopping
Adani Electricity BANGALORE IN,bills
mobile phone recharge,bills
kids clothing,shopping
rent transfer to landlord via SBI Home Loan EMI,household
salon appointment at Jawed Habib,shopping
UPI/PVR Cinemas/ritu.631@okaxis/Payment/SBI,other
water storage container,household
vegetable stall payment,food
lunch at hotel,food
ACH/TP ACH Kidzee 9560481234,education
NEFT Dr-HDFC0000409-RAHUL DESAI-Reliance Trends,shopping
paid 24Seven for groceries,food
BigBasket Ref#86857022,food
POS Rapido HYDERABAD,transport
HP Petrol Pump Ref#72126608,transport
wallet purchase,shopping
IMPS-2202362813-VIKAS DESAI-AXIS-JioHotstar,other
children's activity payment to EuroKids,education
NEFT Dr-HDFC0000837-POOJA RAO-Nykaa Fashion,shopping
UPI/SMS Alert Charges/amit.696@okaxis/Payment/YES BANK,other
household maintenance,household
learning materials,education
farm transport expense,agriculture
UPI-Behrouz Biryani-anjali.170@okicici-YES BANK-084955006-UPI,food
UPI-Ola Cabs-anita.648@okhdfcbank-ICICI-657203516-UPI,transport
Columbia Asia Ref#99928840,healthcare
bought vegetables and essentials at BigBasket,food
IMPS-4346708639-SNEHA BOSE-YES BANK-Coursera,education
UPI-HP Petrol Pump-pooja.270@ybl-KOTAK-447964670-UPI,transport
paid to fix the farm irrigation system,agriculture
general transaction,other
UPI-PharmEasy-neha.440@okhdfcbank-YES BANK-739892384-UPI,healthcare
paid for fertilizer delivery to the farm,agriculture
medical scan,healthcare
internet bill paid to BESCOM,bills
monthly subscription renewal for JioHotstar,other
clothes from shop,shopping
petrol refill,transport
drip irrigation supplies,agriculture
UPI/Rapido/sanjay.533@ybl/Payment/ICICI,transport
semester fee via BYJU'S,education
IMPS-8417483116-VIKAS KAPOOR-KOTAK-BSES Rajdhani,bills
UPI/PVR Cinemas/karan.619@ybl/Payment/IDFC,other
educational supplies,education
paid Indian Oil Petrol Pump for a ride,transport
lab test payment,healthcare
utility bill for Bangalore Water Board,bills
college semester fee,education
IMPS-2800941983-PRIYA RAO-ICICI-Annual Card Fee,other
UPI/Property Owner NEFT/neha.481@oksbi/Payment/AXIS,household
1mg Pharmacy GURGAON IN,healthcare
general expense,other
paid Lakme Salon for a haircut,shopping
NEFT Dr-ICICI0000773-MEERA RAO-Apollo Pharmacy,healthcare
unknown transaction,other
UPI/Netmeds/rohan.535@paytm/Payment/ICICI,healthcare
irrigation pipe purchase,agriculture
cow medicine,agriculture
SMS Alert Charges deducted from account,other
penalty charge: GST on Bank Charges,other
UPI/Max Fashion/kavya.807@ybl/Payment/SBI,shopping
grocery shop payment,food
Sony LIV subscription auto debit,other
UPI-Reliance Trends-amit.401@okicici-HDFC-426353953-UPI,shopping
UPI/Bangalore Water Board/anjali.872@oksbi/Payment/YES BANK,bills
unknown shop payment,other
utility bill for Airtel Postpaid,bills
Kumon Learning PUNE IN,education
bus ticket,transport
lab test fee at Cadabams Hospital,healthcare
school annual fee,education
dustpan purchase,household
ACH/TP ACH Blinkit 6577442871,food
bus ride,transport
paid for crop spraying service,agriculture
paid for veterinary treatment of a goat,agriculture
miscellaneous expense,other
tuition payment,education
course payment on College Tuition NEFT,education
other expense,other
jacket purchase,shopping
bought fertilizer for the paddy crop,agriculture
kids class fee paid to Sportskids Academy,education
pharmacy purchase,healthcare
internet bill paid to BSES Rajdhani,bills
small miscellaneous purchase,other
rented a tractor for preparing the soil,agriculture
cash expense,other
fertilizer for crop,agriculture
train journey,transport
UPI/HP Petrol Pump/ritu.995@paytm/Payment/AXIS,transport
paid Star Bazaar for groceries,food
Indian Oil Petrol Pump PUNE IN,transport
POS Barbeque Nation MUMBAI,food
travel to town,transport
ACH/TP ACH Apollo Pharmacy 8925395882,healthcare
cooking vessel,household
flight booking on Cleartrip,transport
SMS Alert Charges Ref#38815869,other
harvesting tools,agriculture
UPI-Overdraft Interest Charge-kavya.464@paytm-SBI-562904472-UPI,other
IMPS-3961121170-RITU RAO-IDFC-HDFC Home Loan EMI,household
bought medicines from Apollo Pharmacy,healthcare
ACH/TP ACH Cuemath 2436778995,education
UPI-INOX Movies-arjun.228@ybl-KOTAK-355191676-UPI,other
local bus payment,transport
bought fodder for the farm cattle,agriculture
ACH/TP ACH Tata Power 9821733085,bills
paid HP Petrol Pump for a ride,transport
rent transfer to landlord via NoBroker Rent Payment,household
computer class fee,education
footwear shopping,shopping
trousers purchase,shopping
purchased drip lines for the crop field,agriculture
UPI/H&M/vikas.391@okicici/Payment/SBI,shopping
paid tractor rental for farm work,agriculture
shared auto fare,transport
UPI/Netmeds/ritu.193@paytm/Payment/SBI,healthcare
paid for veterinary medicine for livestock,agriculture
pharmacy bill paid at Apollo Pharmacy,healthcare
rent transfer to landlord via ICICI Home Loan EMI,household
pesticide purchase,agriculture
spa session payment at YesMadam,shopping
Air India CHENNAI IN,transport
water bottle for home,household
clinic visit,healthcare
GST on Bank Charges deducted from account,other
purchased prescription at Apollo Pharmacy,healthcare
Flipkart Ref#32258551,shopping
UPI/McDonald's/rahul.283@okhdfcbank/Payment/KOTAK,food
cash withdrawal expense,other
kids class fee paid to Kumon Learning,education
UPI-PharmEasy-vikram.607@paytm-ICICI-193180901-UPI,healthcare
NEFT Dr-KOTAK0000744-RAHUL MALHOTRA-Goibibo,transport
paid workers for preparing the land,agriculture
kitchen items,household
UPI/Cult.fit/sanjay.278@oksbi/Payment/YES BANK,shopping
flour and rice,food
movie tickets booked on YouTube Premium,other
shopping order placed on Reliance Trends,shopping
eggs from shop,food
weekly grocery shopping at BigBasket,food
NEFT Dr-YES BANK0000356-ANJALI VERMA-Cadabams Hospital,healthcare
NEFT Dr-IDFC0000462-ARJUN PILLAI-BYJU'S,education
hospital travel fare,transport
Sushil Medical Store Ref#60072310,healthcare
